timestamp,price,cta_signal,li_zscore7d_signal,lsratio
2024-04-02 23:00:00,181.679,-7.1931057258460935,-2.9448419257618723,54.75672608664911
2024-04-03 00:00:00,181.258,-7.509699930996104,-20.0,63.78577340201336
2024-04-03 01:00:00,185.276,-7.375096169413967,-20.0,63.78577340201336
2024-04-03 02:00:00,185.831,-7.080708825722404,-20.0,63.78577340201336
2024-04-03 03:00:00,188.563,-6.629109384423295,-20.0,63.78577340201336
2024-04-03 04:00:00,187.98,-6.337692133954375,-20.0,63.78577340201336
2024-04-03 05:00:00,188.673,-5.990689694911824,-20.0,63.78577340201336
2024-04-03 06:00:00,190.692,-5.545213216649152,-20.0,63.78577340201336
2024-04-03 07:00:00,189.65,-5.201628282146232,-20.0,63.78577340201336
2024-04-03 08:00:00,190.735,-4.700683314233767,-19.6456694705318,63.78577340201336
2024-04-03 09:00:00,190.343,-4.372189356274242,-19.040578033459248,63.78577340201336
2024-04-03 10:00:00,188.623,-4.300764658789231,-18.481165171129277,63.78577340201336
2024-04-03 11:00:00,187.88,-4.381065244464803,-17.961779523263584,63.78577340201336
2024-04-03 12:00:00,188.175,-4.432418693356002,-17.47770445310538,63.78577340201336
2024-04-03 13:00:00,187.154,-4.492138809919316,-17.02496800451434,63.78577340201336
2024-04-03 14:00:00,190.542,-4.093252458824073,-16.60019806819525,63.78577340201336
2024-04-03 15:00:00,189.15,-3.865470430465379,-16.200510569723626,63.78577340201336
2024-04-03 16:00:00,189.31,-3.67904885478068,-15.823422132761806,63.78577340201336
2024-04-03 17:00:00,187.997,-3.654360437550756,-15.466781126002566,63.78577340201336
2024-04-03 18:00:00,186.528,-3.7810386504661073,-15.128712687566724,63.78577340201336
2024-04-03 19:00:00,185.775,-3.998560538042627,-14.807574496115402,63.78577340201336
2024-04-03 20:00:00,183.601,-4.343852656863133,-14.501920890193068,63.78577340201336
2024-04-03 21:00:00,185.195,-4.537147049342647,-14.210473534619345,63.78577340201336
2024-04-03 22:00:00,186.181,-4.535863120578857,-13.932097266860213,63.78577340201336
2024-04-03 23:00:00,185.173,-4.540107026795532,-13.66578007551014,63.78577340201336
2024-04-04 00:00:00,186.834,-4.474937861613429,-15.74508387213752,70.96557584312089
2024-04-04 01:00:00,185.871,-4.491924376868311,-15.435434223266022,70.96557584312089
2024-04-04 02:00:00,183.439,-4.60963131296347,-15.14102693958418,70.96557584312089
2024-04-04 03:00:00,181.621,-4.82912910900455,-14.86066309187676,70.96557584312089
2024-04-04 04:00:00,182.139,-5.026010645203343,-14.59327691838304,70.96557584312089
2024-04-04 05:00:00,182.877,-5.11297866279936,-14.337917741665605,70.96557584312089
2024-04-04 06:00:00,184.031,-5.121850571476156,-14.093734834355176,70.96557584312089
2024-04-04 07:00:00,185.058,-5.042152863355714,-13.85996468506464,70.96557584312089
2024-04-04 08:00:00,185.68,-4.814371709116428,-13.635920230733284,70.96557584312089
2024-04-04 09:00:00,185.41,-4.674881949778487,-13.42098171012496,70.96557584312089
2024-04-04 10:00:00,185.695,-4.498279075598014,-13.214588861816283,70.96557584312089
2024-04-04 11:00:00,185.703,-4.29460241566638,-13.016234243635791,70.96557584312089
2024-04-04 12:00:00,186.965,-3.998927140796887,-12.825457492729678,70.96557584312089
2024-04-04 13:00:00,188.307,-3.56477362739571,-12.641840378894605,70.96557584312089
2024-04-04 14:00:00,188.316,-3.2999821590847063,-12.46500253052516,70.96557584312089
2024-04-04 15:00:00,187.175,-3.074092315310749,-12.294597733979932,70.96557584312089
2024-04-04 16:00:00,187.406,-2.9074483654123564,-12.130310724518594,70.96557584312089
2024-04-04 17:00:00,189.209,-2.7076154013515543,-11.971854401087503,70.96557584312089
2024-04-04 18:00:00,186.211,-2.9173582113545704,-11.81896740880704,70.96557584312089
2024-04-04 19:00:00,185.793,-3.2016829657922314,-11.67141204257578,70.96557584312089
2024-04-04 20:00:00,182.651,-3.760348875735882,-11.528972433163291,70.96557584312089
2024-04-04 21:00:00,182.121,-4.2378472546050565,-11.39145298385633,70.96557584312089
2024-04-04 22:00:00,182.442,-4.586891031220632,-11.258677031402677,70.96557584312089
2024-04-04 23:00:00,184.123,-4.738401734053143,-11.130485709890293,70.96557584312089
2024-04-05 00:00:00,185.015,-4.677477529569744,-3.696242617461948,107.1182311351617
2024-04-05 01:00:00,182.473,-4.870638712207827,-3.642596597836316,107.1182311351617
2024-04-05 02:00:00,178.051,-5.414360148855072,-3.589053011321923,107.1182311351617
2024-04-05 03:00:00,179.525,-5.866077356332638,-3.5356001901293457,107.1182311351617
2024-04-05 04:00:00,177.136,-6.361465553786379,-3.4822263947461,107.1182311351617
2024-04-05 05:00:00,175.689,-6.947713470009732,-3.428919798187473,107.1182311351617
2024-04-05 06:00:00,175.34,-7.408703812801201,-3.375668469719036,107.1182311351617
2024-04-05 07:00:00,175.188,-7.87053741372224,-3.32246035798758,107.1182311351617
2024-04-05 08:00:00,173.0,-8.251976263944865,-3.2692832734926665,107.1182311351617
2024-04-05 09:00:00,172.537,-8.684688193967373,-3.2161248703257908,107.1182311351617
2024-04-05 10:00:00,172.075,-9.094286105362425,-3.1629726270985112,107.1182311351617
2024-04-05 11:00:00,169.838,-9.461304756825498,-3.109813826974124,107.1182311351617
2024-04-05 12:00:00,172.773,-9.784568060301982,-3.056635536711262,107.1182311351617
2024-04-05 13:00:00,175.032,-9.852788245192407,-3.0034245846178464,107.1182311351617
2024-04-05 14:00:00,175.909,-9.787199873504775,-2.950167537307605,107.1182311351617
