timestamp,price,jup_li_zscore7d_signal,ba_oi_zscore7d_signal,cme_oi_zscore7d_signal,all_miner_outflow,binance_btc_inflow,binance_btc_netflow,binance_btc_outflow,long_term_holder_sopr,MVMR,short_term_holder_sorp,WBTC_long_diff,WBTC_short_diff,all_miner_reverse_usd_diff,binance_reverse_usd_diff,btc_network_difficulity_diff,btc_network_hashrate_diff,exchange_stable_ratio_diff,open_interest_diff,realized_cap_diff
2024-04-02 23:00:00,65505.3,-0.8925800031024922,-1.1262910610525054,0.2317404296895404,9750.07493408,9291.16040247,-1017.3570309100014,10308.51743338,2.6547969,2.48541071,0.99354681,-146213.62652394176,1316148.3493127823,-984894556.8536682,-878817125.5075836,0.0,53719450866.56372,-0.1657396700000006,-197672638.7396584,2866309260.557556
2024-04-03 00:00:00,65433.9,1.5258688015240545,3.12340440743397,3.964063358172453,13657.74903246,13077.62384231,-1990.7762080600005,15068.40005037,2.65363415,2.32913249,0.99042349,-2553834.3318394646,668645.359737712,-3006471241.272201,-2657340467.4795456,0.0,-8264530902.548218,-0.5222863600000007,-1289208102.8906498,1638029158.221069
2024-04-03 01:00:00,65829.9,1.5180477682246911,3.042581007879518,3.76768297500292,13657.74903246,13077.62384231,-1990.7762080600005,15068.40005037,2.65363415,2.32913249,0.99042349,-2553834.3318394646,668645.359737712,-3006471241.272201,-2657340467.4795456,0.0,-8264530902.548218,-0.5222863600000007,-1289208102.8906498,1638029158.221069
2024-04-03 02:00:00,65948.4,1.510307770058128,2.967082245193355,3.5958398889247896,13657.74903246,13077.62384231,-1990.7762080600005,15068.40005037,2.65363415,2.32913249,0.99042349,-2553834.3318394646,668645.359737712,-3006471241.272201,-2657340467.4795456,0.0,-8264530902.548218,-0.5222863600000007,-1289208102.8906498,1638029158.221069
2024-04-03 03:00:00,66252.2,1.5026472820228,2.896334295705068,3.4437361298510063,13657.74903246,13077.62384231,-1990.7762080600005,15068.40005037,2.65363415,2.32913249,0.99042349,-2553834.3318394646,668645.359737712,-3006471241.272201,-2657340467.4795456,0.0,-8264530902.548218,-0.5222863600000007,-1289208102.8906498,1638029158.221069
2024-04-03 04:00:00,66357.3,1.4950648190846334,2.8298465319229646,3.307794061447528,13657.74903246,13077.62384231,-1990.7762080600005,15068.40005037,2.65363415,2.32913249,0.99042349,-2553834.3318394646,668645.359737712,-3006471241.272201,-2657340467.4795456,0.0,-8264530902.548218,-0.5222863600000007,-1289208102.8906498,1638029158.221069
2024-04-03 05:00:00,66112.7,1.487558934835589,2.7671966157869843,3.1852840432693506,13657.74903246,13077.62384231,-1990.7762080600005,15068.40005037,2.65363415,2.32913249,0.99042349,-2553834.3318394646,668645.359737712,-3006471241.272201,-2657340467.4795456,0.0,-8264530902.548218,-0.5222863600000007,-1289208102.8906498,1638029158.221069
2024-04-03 06:00:00,66381.7,1.4801282202070178,2.708018732897207,3.074082184134228,13657.74903246,13077.62384231,-1990.7762080600005,15068.40005037,2.65363415,2.32913249,0.99042349,-2553834.3318394646,668645.359737712,-3006471241.272201,-2657340467.4795456,0.0,-8264530902.548218,-0.5222863600000007,-1289208102.8906498,1638029158.221069
2024-04-03 07:00:00,66181.1,1.472771302235014,2.651994214203088,2.972507663675382,13657.74903246,13077.62384231,-1990.7762080600005,15068.40005037,2.65363415,2.32913249,0.99042349,-2553834.3318394646,668645.359737712,-3006471241.272201,-2657340467.4795456,0.0,-8264530902.548218,-0.5222863600000007,-1289208102.8906498,1638029158.221069
2024-04-03 08:00:00,66544.5,1.4654868428753478,2.598843992829045,2.8792104673494694,13657.74903246,13077.62384231,-1990.7762080600005,15068.40005037,2.65363415,2.32913249,0.99042349,-2553834.3318394646,668645.359737712,-3006471241.272201,-2657340467.4795456,0.0,-8264530902.548218,-0.5222863600000007,-1289208102.8906498,1638029158.221069
2024-04-03 09:00:00,66511.6,1.4582735378656728,2.548322486107029,2.793092051033549,13657.74903246,13077.62384231,-1990.7762080600005,15068.40005037,2.65363415,2.32913249,0.99042349,-2553834.3318394646,668645.359737712,-3006471241.272201,-2657340467.4795456,0.0,-8264530902.548218,-0.5222863600000007,-1289208102.8906498,1638029158.221069
2024-04-03 10:00:00,66230.1,1.4511301156328449,2.5002125950527634,2.7132480947962603,13657.74903246,13077.62384231,-1990.7762080600005,15068.40005037,2.65363415,2.32913249,0.99042349,-2553834.3318394646,668645.359737712,-3006471241.272201,-2657340467.4795456,0.0,-8264530902.548218,-0.5222863600000007,-1289208102.8906498,1638029158.221069
2024-04-03 11:00:00,66094.3,1.4440553362430613,2.454321587755365,2.6389264254568467,13657.74903246,13077.62384231,-1990.7762080600005,15068.40005037,2.65363415,2.32913249,0.99042349,-2553834.3318394646,668645.359737712,-3006471241.272201,-2657340467.4795456,0.0,-8264530902.548218,-0.5222863600000007,-1289208102.8906498,1638029158.221069
2024-04-03 12:00:00,65950.0,1.4370479903930722,2.4104776877196272,2.56949557468759,13657.74903246,13077.62384231,-1990.7762080600005,15068.40005037,2.65363415,2.32913249,0.99042349,-2553834.3318394646,668645.359737712,-3006471241.272201,-2657340467.4795456,0.0,-8264530902.548218,-0.5222863600000007,-1289208102.8906498,1638029158.221069
2024-04-03 13:00:00,65843.1,1.4301068984404373,2.3685272287536,2.5044209342285804,13657.74903246,13077.62384231,-1990.7762080600005,15068.40005037,2.65363415,2.32913249,0.99042349,-2553834.3318394646,668645.359737712,-3006471241.272201,-2657340467.4795456,0.0,-8264530902.548218,-0.5222863600000007,-1289208102.8906498,1638029158.221069
2024-04-03 14:00:00,66662.4,1.4232309094711015,2.328332268435827,2.4432464294097613,13657.74903246,13077.62384231,-1990.7762080600005,15068.40005037,2.65363415,2.32913249,0.99042349,-2553834.3318394646,668645.359737712,-3006471241.272201,-2657340467.4795456,0.0,-8264530902.548218,-0.5222863600000007,-1289208102.8906498,1638029158.221069
2024-04-03 15:00:00,65873.9,1.4164189004025898,2.2897685752657937,2.385580262139272,13657.74903246,13077.62384231,-1990.7762080600005,15068.40005037,2.65363415,2.32913249,0.99042349,-2553834.3318394646,668645.359737712,-3006471241.272201,-2657340467.4795456,0.0,-8264530902.548218,-0.5222863600000007,-1289208102.8906498,1638029158.221069
2024-04-03 16:00:00,66219.7,1.409669775121266,2.2527239222376045,2.331083696491101,13657.74903246,13077.62384231,-1990.7762080600005,15068.40005037,2.65363415,2.32913249,0.99042349,-2553834.3318394646,668645.359737712,-3006471241.272201,-2657340467.4795456,0.0,-8264530902.548218,-0.5222863600000007,-1289208102.8906498,1638029158.221069
2024-04-03 17:00:00,65980.7,1.4029824636520034,2.2170966331724298,2.279462147897357,13657.74903246,13077.62384231,-1990.7762080600005,15068.40005037,2.65363415,2.32913249,0.99042349,-2553834.3318394646,668645.359737712,-3006471241.272201,-2657340467.4795456,0.0,-8264530902.548218,-0.5222863600000007,-1289208102.8906498,1638029158.221069
2024-04-03 18:00:00,66026.4,1.3963559213590506,2.182794338707216,2.23045803664088,13657.74903246,13077.62384231,-1990.7762080600005,15068.40005037,2.65363415,2.32913249,0.99042349,-2553834.3318394646,668645.359737712,-3006471241.272201,-2657340467.4795456,0.0,-8264530902.548218,-0.5222863600000007,-1289208102.8906498,1638029158.221069
2024-04-03 19:00:00,65798.8,1.3897891281765358,2.149732907103731,2.183845006996532,13657.74903246,13077.62384231,-1990.7762080600005,15068.40005037,2.65363415,2.32913249,0.99042349,-2553834.3318394646,668645.359737712,-3006471241.272201,-2657340467.4795456,0.0,-8264530902.548218,-0.5222863600000007,-1289208102.8906498,1638029158.221069
2024-04-03 20:00:00,65729.3,1.3832810878673518,2.1178355215554543,2.1394232138384086,13657.74903246,13077.62384231,-1990.7762080600005,15068.40005037,2.65363415,2.32913249,0.99042349,-2553834.3318394646,668645.359737712,-3006471241.272201,-2657340467.4795456,0.0,-8264530902.548218,-0.5222863600000007,-1289208102.8906498,1638029158.221069
2024-04-03 21:00:00,65944.7,1.3768308273092766,2.087031880837093,2.097015451230523,13657.74903246,13077.62384231,-1990.7762080600005,15068.40005037,2.65363415,2.32913249,0.99042349,-2553834.3318394646,668645.359737712,-3006471241.272201,-2657340467.4795456,0.0,-8264530902.548218,-0.5222863600000007,-1289208102.8906498,1638029158.221069
2024-04-03 22:00:00,66157.5,1.370437395807065,2.0572575042650247,2.056463950759616,13657.74903246,13077.62384231,-1990.7762080600005,15068.40005037,2.65363415,2.32913249,0.99042349,-2553834.3318394646,668645.359737712,-3006471241.272201,-2657340467.4795456,0.0,-8264530902.548218,-0.5222863600000007,-1289208102.8906498,1638029158.221069
2024-04-03 23:00:00,65971.9,1.3640998644294375,2.028453125247905,2.0176277167945407,13657.74903246,13077.62384231,-1990.7762080600005,15068.40005037,2.65363415,2.32913249,0.99042349,-2553834.3318394646,668645.359737712,-3006471241.272201,-2657340467.4795456,0.0,-8264530902.548218,-0.5222863600000007,-1289208102.8906498,1638029158.221069
2024-04-04 00:00:00,66297.5,2.119731309184292,1.812311367997973,5.398339618329729,6427.50400639,6259.56053668,-2032.56436958,8292.12490626,2.3271682,2.34405037,1.00487851,-885070.1339865215,-2032193.726459404,295123275.0516968,235453606.7188492,0.0,-24793592707.64477,-0.1611008299999987,173360301.17941284,817897960.9979248
2024-04-04 01:00:00,66150.0,2.096101971881511,1.7826597823805586,4.962173567901669,6427.50400639,6259.56053668,-2032.56436958,8292.12490626,2.3271682,2.34405037,1.00487851,-885070.1339865215,-2032193.726459404,295123275.0516968,235453606.7188492,0.0,-24793592707.64477,-0.1611008299999987,173360301.17941284,817897960.9979248
2024-04-04 02:00:00,65751.0,2.073089791448954,1.7539856142619168,4.613389594936955,6427.50400639,6259.56053668,-2032.56436958,8292.12490626,2.3271682,2.34405037,1.00487851,-885070.1339865215,-2032193.726459404,295123275.0516968,235453606.7188492,0.0,-24793592707.64477,-0.1611008299999987,173360301.17941284,817897960.9979248
2024-04-04 03:00:00,65637.2,2.0506669833245867,1.7262305694061346,4.326018869183974,6427.50400639,6259.56053668,-2032.56436958,8292.12490626,2.3271682,2.34405037,1.00487851,-885070.1339865215,-2032193.726459404,295123275.0516968,235453606.7188492,0.0,-24793592707.64477,-0.1611008299999987,173360301.17941284,817897960.9979248
2024-04-04 04:00:00,65506.5,2.0288074889841137,1.6993410732658778,4.083762680516948,6427.50400639,6259.56053668,-2032.56436958,8292.12490626,2.3271682,2.34405037,1.00487851,-885070.1339865215,-2032193.726459404,295123275.0516968,235453606.7188492,0.0,-24793592707.64477,-0.1611008299999987,173360301.17941284,817897960.9979248
2024-04-04 05:00:00,65606.1,2.007486840224796,1.6732677880718738,3.875804962409264,6427.50400639,6259.56053668,-2032.56436958,8292.12490626,2.3271682,2.34405037,1.00487851,-885070.1339865215,-2032193.726459404,295123275.0516968,235453606.7188492,0.0,-24793592707.64477,-0.1611008299999987,173360301.17941284,817897960.9979248
2024-04-04 06:00:00,65788.3,1.9866820362784128,1.647965188989205,3.694647461185224,6427.50400639,6259.56053668,-2032.56436958,8292.12490626,2.3271682,2.34405037,1.00487851,-885070.1339865215,-2032193.726459404,295123275.0516968,235453606.7188492,0.0,-24793592707.64477,-0.1611008299999987,173360301.17941284,817897960.9979248
2024-04-04 07:00:00,66104.8,1.9663714323438308,1.6233911909805463,3.5349057899907725,6427.50400639,6259.56053668,-2032.56436958,8292.12490626,2.3271682,2.34405037,1.00487851,-885070.1339865215,-2032193.726459404,295123275.0516968,235453606.7188492,0.0,-24793592707.64477,-0.1611008299999987,173360301.17941284,817897960.9979248
2024-04-04 08:00:00,66236.6,1.946534638305196,1.5995068193531323,3.392599814460293,6427.50400639,6259.56053668,-2032.56436958,8292.12490626,2.3271682,2.34405037,1.00487851,-885070.1339865215,-2032193.726459404,295123275.0516968,235453606.7188492,0.0,-24793592707.64477,-0.1611008299999987,173360301.17941284,817897960.9979248
2024-04-04 09:00:00,66291.8,1.9271524265533293,1.5762759180654315,3.2647150931532303,6427.50400639,6259.56053668,-2032.56436958,8292.12490626,2.3271682,2.34405037,1.00487851,-885070.1339865215,-2032193.726459404,295123275.0516968,235453606.7188492,0.0,-24793592707.64477,-0.1611008299999987,173360301.17941284,817897960.9979248
